Department English,Department French,URLs
Crown-Indigenous Relations and Northern Affairs Canada,,https://www.canada.ca/en/crown-indigenous-relations-northern-affairs/news/2020/07/harvesting-programs-supporting-inuit-way-of-life-amid-covid-19-pandemic0.html
Canada Border Services Agency,,https://www.canada.ca/en/border-services-agency/news/2020/06/fact-sheet-covid-19---additional-temporary-service-reductions-at-select-canadian-ports-of-entry.html
"",Conseil national de recherches Canada,https://nrc.canada.ca/index.php/fr/histoires/derriere-banc-nos-chercheurs-covid-19
National Film Board,,https://www.canada.ca/en/national-film-board/news/2020/05/the-nfb-greenlights-16-projects-for-production-new-documentary-animation-and-interactive-works-from-across-canada-including-projects-to-come-on-cov.html
Statistics Canada,Statistique Canada,www.statcan.gc.ca
"",Femmes et Égalité des genres Canada,https://www.canada.ca/fr/condition-feminine/nouvelles/2020/05/le-gouvernement-du-canada-soutient-plus-de-500maisons-dhebergement-pour-femmes-et-centres-pour-victimes-dagressions-sexuelles-pendant-la-pandemie-d.html
"",Commandement des Forces d'opérations spéciales du Canada,https://www.canada.ca/fr/commandement-forces-operations-speciales.html
"",Agriculture et Agroalimentaire Canada,https://www.canada.ca/fr/agriculture-agroalimentaire/nouvelles/2020/06/soutien-aux-apiculteurs-de-lalberta-pendant-la-pandemie-de-covid-19.html
Public Safety Canada,,https://www.canada.ca/en/public-safety-canada/news/2020/06/minister-blair-to-make-an-announcement.html
"",Infrastructure Canada,https://www.canada.ca/fr/bureau-infrastructure/nouvelles/2020/06/le-canada-et-lontario-investissent-dans-lamelioration-des-infrastructures-de-transport-en-commun-et-de-transport-actif-afin-de-rendre-la-ville-de-b.html
Agriculture and Agri-Food Canada,,https://www.canada.ca/en/agriculture-agri-food/news/2020/05/helping-the-dairy-sector-mitigate-the-impact-of-covid-19.html
"",Développement économique Canada pour les régions du Québec,https://www.canada.ca/fr/developpement-economique-regions-quebec/nouvelles/2020/06/invitation-aux-medias--la-ministre-melanie-joly-annoncera-des-investissements-destines-au-secteur-du-tourisme.html
Elections Canada,Elections Canada,www.elections.ca
"",Instituts de recherche en santé du Canada,https://www.canada.ca/fr/instituts-recherche-sante/nouvelles/2020/03/le-gouvernement-du-canada-finance-49-projets-de-recherche-supplementaires-sur-la-covid-19.html
